id	direction	tag
bio1_cpd00166_c0	>	biomasssupply
bio1_cpd00017_c0	>	biomasssupply
bio1_cpd00345_c0	>	biomasssupply
bio1_cpd00557_c0	>	biomasssupply
bio1_cpd15665_c0	>	biomasssupply
bio1_cpd17042_c0	>	biomasssupply
bio1_cpd02229_c0	>	biomasssupply
bio1_cpd00054_c0	>	biomasssupply
bio1_cpd15695_c0	>	biomasssupply
bio1_cpd00322_c0	>	biomasssupply
bio1_cpd00087_c0	>	biomasssupply
bio1_cpd15795_c0	>	biomasssupply
bio1_cpd15560_c0	>	biomasssupply
bio1_cpd15540_c0	>	biomasssupply
bio1_cpd00053_c0	>	biomasssupply
bio1_cpd15696_c0	>	biomasssupply
bio1_cpd00241_c0	>	biomasssupply
bio1_cpd00038_c0	>	biomasssupply
bio1_cpd00161_c0	>	biomasssupply
bio1_cpd00063_c0	>	biomasssupply
bio1_cpd00023_c0	>	biomasssupply
bio1_cpd00048_c0	>	biomasssupply
bio1_cpd00030_c0	>	biomasssupply
bio1_cpd00016_c0	>	biomasssupply
bio1_cpd00062_c0	>	biomasssupply
bio1_cpd00052_c0	>	biomasssupply
bio1_cpd00066_c0	>	biomasssupply
bio1_cpd00099_c0	>	biomasssupply
bio1_cpd00149_c0	>	biomasssupply
bio1_cpd00119_c0	>	biomasssupply
bio1_cpd00034_c0	>	biomasssupply
bio1_cpd00039_c0	>	biomasssupply
bio1_cpd00010_c0	>	biomasssupply
bio1_cpd00220_c0	>	biomasssupply
bio1_cpd10516_c0	>	biomasssupply
bio1_cpd00028_c0	>	biomasssupply
bio1_cpd00015_c0	>	biomasssupply
bio1_cpd00084_c0	>	biomasssupply
bio1_cpd15352_c0	>	biomasssupply
bio1_cpd00042_c0	>	biomasssupply
bio1_cpd15432_c0	>	biomasssupply
bio1_cpd00058_c0	>	biomasssupply
bio1_cpd15722_c0	>	biomasssupply
bio1_cpd15500_c0	>	biomasssupply
bio1_cpd00132_c0	>	biomasssupply
bio1_cpd00035_c0	>	biomasssupply
bio1_cpd00156_c0	>	biomasssupply
bio1_cpd15794_c0	>	biomasssupply
bio1_cpd00115_c0	>	biomasssupply
bio1_cpd00107_c0	>	biomasssupply
bio1_cpd00069_c0	>	biomasssupply
bio1_cpd00056_c0	>	biomasssupply
bio1_cpd11493_c0	>	biomasssupply
bio1_cpd15723_c0	>	biomasssupply
bio1_cpd00356_c0	>	biomasssupply
bio1_cpd00201_c0	>	biomasssupply
bio1_cpd00254_c0	>	biomasssupply
bio1_cpd00205_c0	>	biomasssupply
bio1_cpd00118_c0	>	biomasssupply
bio1_cpd00002_c0	>	biomasssupply
bio1_cpd00264_c0	>	biomasssupply
bio1_cpd00003_c0	>	biomasssupply
bio1_cpd15533_c0	>	biomasssupply
bio1_cpd00129_c0	>	biomasssupply
bio1_cpd00041_c0	>	biomasssupply
bio1_cpd00001_c0	>	biomasssupply
bio1_cpd00033_c0	>	biomasssupply
bio1_cpd00065_c0	>	biomasssupply
bio1_cpd17043_c0	>	biomasssupply
bio1_cpd00006_c0	>	biomasssupply
bio1_cpd00051_c0	>	biomasssupply
bio1_cpd17041_c0	>	biomasssupply
bio1_cpd00357_c0	>	biomasssupply
bio1_cpd00060_c0	>	biomasssupply
bio1_cpd10515_c0	>	biomasssupply
bio1_cpd15793_c0	>	biomasssupply
