id	abbrev	charge	formula	mass	name	deltaG
cpd00002_c0	cpd00002_c0	-3	C10H13N5O13P3	0	ATP_c0	-673.85
cpd00033_c0	cpd00033_c0	0	C2H5NO2	0	Glycine_c0	-87.73
cpd00506_c0	cpd00506_c0	-1	C8H13N2O5S	0	gamma-Glutamylcysteine_c0	-190.374
cpd00008_c0	cpd00008_c0	-2	C10H13N5O10P2	0	ADP_c0	-465.85
cpd00009_c0	cpd00009_c0	-2	HO4P	0	Phosphate_c0	-261.974
cpd00042_c0	cpd00042_c0	-1	C10H16N3O6S	0	GSH_c0	-220.954
cpd00067_c0	cpd00067_c0	1	H	0	H+_c0	-9.53
cpd00017_c0	cpd00017_c0	1	C15H23N6O5S	0	S-Adenosyl-L-methionine_c0	-66.63
cpd00074_c0	cpd00074_c0	0	S	0	S_c0	0
cpd01311_c0	cpd01311_c0	-1	C10H17N2O3	0	Dethiobiotin_c0	-115.31
cpd00060_c0	cpd00060_c0	0	C5H11NO2S	0	L-Methionine_c0	-75.91
cpd00104_c0	cpd00104_c0	-1	C10H15N2O3S	0	BIOT_c0	-109.02
cpd03091_c0	cpd03091_c0	0	C10H13N5O3	0	5'-Deoxyadenosine_c0	-9.12
cpd00022_c0	cpd00022_c0	-4	C23H34N7O17P3S	0	Acetyl-CoA_c0	-785.83
cpd00054_c0	cpd00054_c0	0	C3H7NO3	0	L-Serine_c0	-124.15
cpd00010_c0	cpd00010_c0	-4	C21H32N7O16P3S	0	CoA_c0	-751.994
cpd00722_c0	cpd00722_c0	0	C5H9NO4	0	O-Acetyl-L-serine_c0	-161.6
cpd00046_c0	cpd00046_c0	-2	C9H12N3O8P	0	CMP_c0	-345.38
cpd00096_c0	cpd00096_c0	-2	C9H13N3O11P2	0	CDP_c0	-553.38
cpd00001_c0	cpd00001_c0	0	H2O	0	H2O_c0	-56.687
cpd00658_c0	cpd00658_c0	-2	C10H8O6	0	Isochorismate_c0	-169.49
cpd00020_c0	cpd00020_c0	-1	C3H3O3	0	Pyruvate_c0	-112.69
cpd02566_c0	cpd02566_c0	-1	C7H7O4	0	2,3-Dihydroxy-2,3-dihydrobenzoate_c0	-125.71
cpd00032_c0	cpd00032_c0	-2	C4H2O5	0	Oxaloacetate_c0	-190.52
cpd00011_c0	cpd00011_c0	0	CO2	0	CO2_c0	-92.26
cpd00061_c0	cpd00061_c0	-3	C3H2O6P	0	Phosphoenolpyruvate_c0	-316.08
cpd00067_e0	cpd00067_e0	1	H	0	H+_e0	-9.53
