VarName;VarType;VarCompartment;VarMin;VarMax
rxn00351_c0;FLUX;c;0;0
rxn08180_c0;FLUX;c;0;0
rxn00423_c0;FLUX;c;0.00254025;0.0254025
rxn00364_c0;FORWARD_FLUX;c;0.0258817;0.258817
rxn00364_c0;REVERSE_FLUX;c;0;0
rxn02177_c0;FLUX;c;0;0
rxn00247_c0;FLUX;c;0;996.114
rxn05625_c0;FORWARD_FLUX;c;0;0
rxn05625_c0;REVERSE_FLUX;c;0;0.304488
rxn00022_c0;FLUX;c;0;996.114
rxn00973_c0;FORWARD_FLUX;c;0;1000
rxn00973_c0;REVERSE_FLUX;c;0;999.947
rxn03120_c0;FORWARD_FLUX;c;0;0
rxn03120_c0;REVERSE_FLUX;c;0;0
rxn00322_c0;FLUX;c;0;0
rxn13783_c0;FLUX;c;0.0507834;0.507834
rxn12008_c0;REVERSE_FLUX;c;0.000471748;0.00471748
rxn04070_c0;FLUX;c;0;0
rxn10270_c0;FLUX;c;0;0
rxn12637_c0;FORWARD_FLUX;c;0;0
rxn12637_c0;REVERSE_FLUX;c;0;0
rxn01219_c0;FORWARD_FLUX;c;0.000826444;1000
rxn01219_c0;REVERSE_FLUX;c;0;0
rxn05958_c0;FLUX;c;0;0
rxn00800_c0;FORWARD_FLUX;c;0.00733931;0.0733931
rxn00800_c0;REVERSE_FLUX;c;0;0
rxn08333_c0;FLUX;c;0.000314498;0.00314498
rxn01705_c0;FORWARD_FLUX;c;0;999.999
rxn01705_c0;REVERSE_FLUX;c;0;1000
rxn00211_c0;FORWARD_FLUX;c;0;0
rxn00211_c0;REVERSE_FLUX;c;0;0
rxn01218_c0;FLUX;c;0;0
rxn03360_c0;FORWARD_FLUX;c;0;0
rxn03360_c0;REVERSE_FLUX;c;0;0
rxn02319_c0;FORWARD_FLUX;c;0;0
rxn02319_c0;REVERSE_FLUX;c;0;0
rxn08807_c0;FORWARD_FLUX;c;0;0
rxn08807_c0;REVERSE_FLUX;c;0;0
rxn02320_c0;FORWARD_FLUX;c;0;0
rxn02320_c0;REVERSE_FLUX;c;0;0
rxn04082_c0;FORWARD_FLUX;c;0;0
rxn04082_c0;REVERSE_FLUX;c;0;0
rxn02796_c0;FORWARD_FLUX;c;0;0
rxn02796_c0;REVERSE_FLUX;c;0;0
rxn08084_c0;FLUX;c;0;0
rxn01486_c0;FLUX;c;0.000471748;0.00471748
rxn05040_c0;FLUX;c;0.000628997;0.00628997
rxn02090_c0;FORWARD_FLUX;c;0;0
rxn02090_c0;REVERSE_FLUX;c;0;0
rxn00165_c0;FORWARD_FLUX;c;0;0
rxn00165_c0;REVERSE_FLUX;c;0.0322841;0.322841
rxn00765_c0;FORWARD_FLUX;c;0;1000
rxn00765_c0;REVERSE_FLUX;c;0;1000
rxn05814_c0;FORWARD_FLUX;c;0;0
rxn05814_c0;REVERSE_FLUX;c;0;0
rxn00539_c0;FORWARD_FLUX;c;0;0
rxn00539_c0;REVERSE_FLUX;c;6.89965e-05;0.000689965
rxn11726_c0;FORWARD_FLUX;c;0;0
rxn11726_c0;REVERSE_FLUX;c;0;0
rxn00001_c0;FLUX;c;0;996.114
rxn01322_c0;FORWARD_FLUX;c;0;0
rxn01322_c0;REVERSE_FLUX;c;0;0
rxn00710_c0;FLUX;c;0.0364649;0.367613
rxn08817_c0;FORWARD_FLUX;c;0;0
rxn08817_c0;REVERSE_FLUX;c;0;0
rxn00910_c0;FORWARD_FLUX;c;0;999.992
rxn00910_c0;REVERSE_FLUX;c;0;1000
rxn01129_c0;FORWARD_FLUX;c;0;1000
rxn01129_c0;REVERSE_FLUX;c;0;1000
rxn08296_c0;FORWARD_FLUX;c;0;0
rxn08296_c0;REVERSE_FLUX;c;0;0
rxn00717_c0;FLUX;c;0;0
rxn01297_c0;FORWARD_FLUX;c;0;0
rxn01297_c0;REVERSE_FLUX;c;0;0
rxn10254_c0;FORWARD_FLUX;c;0;0
rxn10254_c0;REVERSE_FLUX;c;0;0
rxn08796_c0;FORWARD_FLUX;c;0;0
rxn08796_c0;REVERSE_FLUX;c;0;0
rxn08941_c0;FORWARD_FLUX;c;0;1000
rxn08941_c0;REVERSE_FLUX;c;0;1000
rxn06493_c0;FORWARD_FLUX;c;0;0
rxn06493_c0;REVERSE_FLUX;c;0;0
rxn10214_c0;FLUX;c;0.00216298;0.0216298
rxn12846_c0;FORWARD_FLUX;c;0;0
rxn12846_c0;REVERSE_FLUX;c;0;0
rxn00337_c0;FORWARD_FLUX;c;0.0157656;0.157656
rxn00337_c0;REVERSE_FLUX;c;0;0
rxn01231_c0;FORWARD_FLUX;c;0;0
rxn01231_c0;REVERSE_FLUX;c;0;0
rxn08823_c0;FORWARD_FLUX;c;0;0
rxn08823_c0;REVERSE_FLUX;c;0;0
rxn08127_c0;FORWARD_FLUX;c;0;1000
rxn08127_c0;REVERSE_FLUX;c;0;1000
rxn01134_c0;FORWARD_FLUX;c;0;0
rxn01134_c0;REVERSE_FLUX;c;3.88614;1000
rxn07577_c0;FORWARD_FLUX;c;0;0
rxn07577_c0;REVERSE_FLUX;c;0;0
rxn00902_c0;REVERSE_FLUX;c;0.0190635;0.190635
rxn00658_c0;FORWARD_FLUX;c;0;0
rxn00658_c0;REVERSE_FLUX;c;0;0
rxn03872_c0;FORWARD_FLUX;c;0;0
rxn03872_c0;REVERSE_FLUX;c;0;0
rxn01739_c0;FORWARD_FLUX;c;0.017316;0.17316
rxn01739_c0;REVERSE_FLUX;c;0;0
rxn02400_c0;FLUX;c;0;0
rxn01974_c0;FORWARD_FLUX;c;0;0
rxn01974_c0;REVERSE_FLUX;c;0;0
rxn01287_c0;FORWARD_FLUX;c;0;0
rxn01287_c0;REVERSE_FLUX;c;0;0
rxn12641_c0;FORWARD_FLUX;c;0;0
rxn12641_c0;REVERSE_FLUX;c;0;0
rxn04673_c0;FLUX;c;0;0
