Reaction;Equation;Reversibility;Flux[c]
Solution;none;none;1
Objective;none;none;0.507834
rxn00351_c0;cpd00506_c0 + ATP_c0 + Glycine_c0 => H+_c0 + GSH_c0 + cpd00009_c0 + ADP_c0;=>;0
rxn08180_c0;cpd00017_c0 + S_c0 + cpd01311_c0 => H+_c0 + cpd03091_c0 + cpd00060_c0 + BIOT_c0;=>;0
rxn00423_c0;cpd00054_c0 + cpd00022_c0 => CoA_c0 + cpd00722_c0;=>;0.0254025
rxn00364_c0;ATP_c0 + H+_c0 + CMP_c0 <=> ADP_c0 + CDP_c0;<=>;0.258817
rxn02177_c0;cpd00658_c0 + H2O_c0 => cpd00020_c0 + cpd02566_c0;=>;0
rxn00247_c0;ATP_c0 + cpd00032_c0 => ADP_c0 + cpd00061_c0 + CO2_c0;=>;0
rxn05625_c0;Nitrite_e0[e] + H+_e0[e] <=> H+_c0 + Nitrite_c0;<=>;0
rxn00022_c0;H2O_c0 + Maltose_c0 => 2 cpd00027_c0;=>;0
rxn00973_c0;Citrate_c0 <=> cpd00260_c0;<=>;0.530545
rxn03120_c0;cpd02807_c0 + cpd01140_c0 <=> UDP_c0 + Apiin_c0;<=>;0
rxn00322_c0;H+_c0 + cpd00039_c0 => CO2_c0 + cpd01155_c0;=>;0
rxn13783_c0; => cpd17042_c0;=>;0.507834
rxn12008_c0;H+_c0 + cpd02557_c0 + PPi_c0 <= cpd02590_c0 + cpd00113_c0;<=;-0.00471748
rxn04070_c0;cpd08289_c0 + cpd08449_c0 => H+_c0 + cpd00009_c0 + 2 H2O_c0 + cpd00478_c0;=>;0
rxn10270_c0;H2O_c0 + cpd15721_c0 => H+_c0 + cpd00009_c0 + cpd15727_c0;=>;0
rxn12637_c0;H2O_c0 + cpd11589_c0 <=> Glycine_c0 + cpd00041_c0;<=>;0
rxn01219_c0;ATP_c0 + H+_c0 + dCMP_c0 <=> ADP_c0 + dCDP_c0;<=>;0.00826444
rxn05958_c0;cpd02227_c0 => cpd08636_c0 + cpd00135_c0;=>;0
rxn00800_c0;cpd02375_c0 <=> AMP_c0 + cpd00106_c0;<=>;0.0733931
rxn08333_c0;cpd02557_c0 + cpd02295_c0 => CO2_c0 + PPi_c0 + cpd15353_c0;=>;0.00314498
rxn01705_c0;dCTP_c0 + cpd00367_c0 <=> H+_c0 + CMP_c0 + dCDP_c0;<=>;0
rxn00211_c0;H2O_c0 + cpd00026_c0 + 2 NAD_c0 <=> 3 H+_c0 + cpd00144_c0 + 2 NADH_c0;<=>;0
rxn01218_c0;H2O_c0 + dCMP_c0 => cpd00009_c0 + cpd00654_c0;=>;0
