COMPOUNDS
ENTRY;DATABASE ID;NAME;FORMULA;COMPARTMENT;Lower DRAIN_FLUX bound;Upper DRAIN_FLUX bound;Min DRAIN_FLUX;Max DRAIN_FLUX
1;cpd00506_c0;cpd00506_c0;C8H13N2O5S;c;1e+07;1e+07;1e+07;1e+07
2;cpd00002_c0;cpd00002_c0;C10H13N5O13P3;c;1e+07;1e+07;1e+07;1e+07
3;cpd00033_c0;cpd00033_c0;C2H5NO2;c;1e+07;1e+07;1e+07;1e+07
4;cpd00067_c0;cpd00067_c0;H;c;1e+07;1e+07;1e+07;1e+07
5;cpd00042_c0;cpd00042_c0;C10H16N3O6S;c;1e+07;1e+07;1e+07;1e+07
6;cpd00009_c0;cpd00009_c0;HO4P;c;1e+07;1e+07;1e+07;1e+07
7;cpd00008_c0;cpd00008_c0;C10H13N5O10P2;c;1e+07;1e+07;1e+07;1e+07
8;cpd00017_c0;cpd00017_c0;C15H23N6O5S;c;1e+07;1e+07;1e+07;1e+07
9;cpd00074_c0;cpd00074_c0;S;c;1e+07;1e+07;1e+07;1e+07
10;cpd01311_c0;cpd01311_c0;C10H17N2O3;c;1e+07;1e+07;1e+07;1e+07
11;cpd03091_c0;cpd03091_c0;C10H13N5O3;c;1e+07;1e+07;1e+07;1e+07
12;cpd00060_c0;cpd00060_c0;C5H11NO2S;c;1e+07;1e+07;1e+07;1e+07
13;cpd00104_c0;cpd00104_c0;C10H15N2O3S;c;1e+07;1e+07;1e+07;1e+07
14;cpd00054_c0;cpd00054_c0;C3H7NO3;c;1e+07;1e+07;1e+07;1e+07
15;cpd00022_c0;cpd00022_c0;C23H34N7O17P3S;c;1e+07;1e+07;1e+07;1e+07
16;cpd00010_c0;cpd00010_c0;C21H32N7O16P3S;c;1e+07;1e+07;1e+07;1e+07
17;cpd00722_c0;cpd00722_c0;C5H9NO4;c;1e+07;1e+07;1e+07;1e+07
18;cpd00046_c0;cpd00046_c0;C9H12N3O8P;c;1e+07;1e+07;1e+07;1e+07
19;cpd00096_c0;cpd00096_c0;C9H13N3O11P2;c;1e+07;1e+07;1e+07;1e+07
20;cpd00658_c0;cpd00658_c0;C10H8O6;c;1e+07;1e+07;1e+07;1e+07
21;cpd00001_c0;cpd00001_c0;H2O;c;1e+07;1e+07;1e+07;1e+07
22;cpd00020_c0;cpd00020_c0;C3H3O3;c;1e+07;1e+07;1e+07;1e+07
23;cpd02566_c0;cpd02566_c0;C7H7O4;c;1e+07;1e+07;1e+07;1e+07
24;cpd00032_c0;cpd00032_c0;C4H2O5;c;1e+07;1e+07;1e+07;1e+07
25;cpd00061_c0;cpd00061_c0;C3H2O6P;c;1e+07;1e+07;1e+07;1e+07
26;cpd00011_c0;cpd00011_c0;CO2;c;1e+07;1e+07;1e+07;1e+07
27;cpd00075_e0;cpd00075_e0;NO2;e;-1000;0;-0.304488;0
28;cpd00067_e0;cpd00067_e0;H;e;-100;100;-5.78835;-0.562094
29;cpd00075_c0;cpd00075_c0;NO2;c;1e+07;1e+07;1e+07;1e+07
30;cpd00179_c0;cpd00179_c0;C12H22O11;c;1e+07;1e+07;1e+07;1e+07
31;cpd00027_c0;cpd00027_c0;C6H12O6;c;1e+07;1e+07;1e+07;1e+07
32;cpd00137_c0;cpd00137_c0;C6H5O7;c;1e+07;1e+07;1e+07;1e+07
33;cpd00260_c0;cpd00260_c0;C6H5O7;c;1e+07;1e+07;1e+07;1e+07
34;cpd02807_c0;cpd02807_c0;C21H20O10;c;1e+07;1e+07;1e+07;1e+07
