REACTIONS
LOAD;DIRECTIONALITY;COMPARTMENT;ASSOCIATED PEG;COMPLEXES
rxn00351_c0;=>;c;b2947;b2947
rxn08180_c0;=>;c;b0775;b0775
rxn00423_c0;=>;c;b3607;b3607
rxn00364_c0;<=>;c;b0910;b0910
rxn02177_c0;=>;c;b0595;b0595
rxn00247_c0;=>;c;b3403;b3403
rxn05625_c0;<=>;c;(b1469 or b1223);b1469=b1223
rxn00022_c0;=>;c;(b3080 or b0403 or b0732);b3080=b0403=b0732
rxn00973_c0;<=>;c;(Unknown and Unknown and b0118 and Unknown and Unknown);b0118
rxn03120_c0;<=>;c;b0406;b0406
rxn00322_c0;=>;c;(b4117 or b0186);b4117=b0186
rxn13783_c0;=>;c;(Unknown and Unknown and Unknown and b0184 and Unknown and b3066 and Unknown and Unknown and Unknown and Unknown and Unknown and b4059 and Unknown and Unknown and Unknown and Unknown and Unknown and Unknown and Unknown and Unknown and Unknown and Unknown and Unknown);b0184+b3066+b4059
rxn12008_c0;<=;c;b3187;b3187
rxn04070_c0;=>;c;b2564;b2564
rxn10270_c0;=>;c;(b0418 or b1278);b0418=b1278
rxn12637_c0;<=>;c;(b0168 or b0237);b0168=b0237
rxn01219_c0;<=>;c;b0910;b0910
rxn05958_c0;=>;c;b2687;b2687
rxn00800_c0;<=>;c;b1131;b1131
rxn08333_c0;=>;c;b3930;b3930
rxn01705_c0;<=>;c;b2803;b2803
rxn00211_c0;<=>;c;b2028;b2028
rxn01218_c0;=>;c;b2291;b2291
rxn03360_c0;<=>;c;b3956;b3956
rxn02319_c0;<=>;c;b2803;b2803
rxn08807_c0;<=>;c;b3825;b3825
rxn02320_c0;<=>;c;(b2021 and Unknown);b2021
rxn04082_c0;<=>;c;(b3583 or b0061);b3583=b0061
rxn02796_c0;<=>;c;b2817;b2817
rxn08084_c0;=>;c;b3018;b3018
rxn01486_c0;=>;c;b3187;b3187
rxn05040_c0;=>;c;(Unknown and b1277);b1277
rxn02090_c0;<=>;c;(b2065 or b1277);b2065=b1277
rxn00165_c0;<=>;c;b1814;b1814
rxn00765_c0;<=>;c;b2453;b2453
rxn05814_c0;<=>;c;b3648;b3648
rxn00539_c0;<=>;c;b1131;b1131
rxn11726_c0;<=>;c;(b0355 or b2154);b0355=b2154
rxn00001_c0;=>;c;b4226;b4226
rxn01322_c0;<=>;c;b3225;b3225
rxn00710_c0;=>;c;b1281;b1281
rxn08817_c0;<=>;c;b3825;b3825
rxn00910_c0;<=>;c;b3941;b3941
rxn01129_c0;<=>;c;b2803;b2803
rxn08296_c0;<=>;c;b4042;b4042
rxn00717_c0;=>;c;b2065;b2065
rxn01297_c0;<=>;c;b2866;b2866
rxn10254_c0;<=>;c;b4042;b4042
rxn08796_c0;<=>;c;b3825;b3825
rxn08941_c0;<=>;c;b3417;b3417
rxn06493_c0;<=>;c;b0116;b0116
rxn10214_c0;=>;c;b3018;b3018
rxn12846_c0;<=>;c;(b0168 or b0237);b0168=b0237
rxn00337_c0;<=>;c;b3959;b3959
rxn01231_c0;<=>;c;b4117;b4117
rxn08823_c0;<=>;c;b3825;b3825
rxn08127_c0;<=>;c;b3416;b3416
rxn01134_c0;<=>;c;b2917;b2917
rxn07577_c0;<=>;c;b1093;b1093
rxn00902_c0;<=;c;b0074;b0074
rxn00658_c0;<=>;c;b0677;b0677
rxn03872_c0;<=>;c;(b2154 or b0355);b2154=b0355
rxn01739_c0;<=>;c;(b3390 or b0388);b3390=b0388
rxn02400_c0;=>;c;b2291;b2291
rxn01974_c0;<=>;c;b3809;b3809
rxn01287_c0;<=>;c;b3904;b3904
rxn12641_c0;<=>;c;(b0168 or b0237);b0168=b0237
rxn04673_c0;=>;c;b3930;b3930
rxn03887_c0;=>;c;b3788;b3788
rxn09198_c0;<=>;c;b4160;b4160
rxn08838_c0;<=>;c;b3825;b3825
rxn00100_c0;=>;c;b0103;b0103
rxn00789_c0;<=;c;b2019;b2019
rxn02374_c0;=>;c;Unknown;
rxn08583_c0;<=>;c;b3628;b3628
rxn00837_c0;<=;c;b0104;b0104
rxn05319_c0;<=;c;Unknown;
rxn05293_c0;=>;c;b2515;b2515
rxn02264_c0;<=>;c;b0334;b0334
rxn09202_c0;<=>;c;b4160;b4160
rxn00097_c0;<=>;c;b0474;b0474
rxn01217_c0;<=>;c;b2153;b2153
rxn02212_c0;=>;c;b3389;b3389
rxn00191_c0;<=>;c;(b2379 or b2290);b2379=b2290
rxn00695_c0;<=>;c;(Unknown and b3430);b3430
rxn00655_c0;<=>;c;b0048;b0048
rxn11552_c0;<=>;c;b2453;b2453
rxn00692_c0;<=>;c;b2551;b2551
rxn01492_c0;<=>;c;b0757;b0757
rxn00802_c0;<=>;c;b3960;b3960
rxn01310_c0;<=>;c;b2453;b2453
rxn08802_c0;<=>;c;b3825;b3825
rxn02703_c0;<=>;c;b3974;b3974
rxn00913_c0;=>;c;b2291;b2291
rxn01997_c0;=>;c;b3788;b3788
rxn08809_c0;<=>;c;b3825;b3825
rxn03958_c0;<=>;c;b0173;b0173
rxn00131_c0;<=>;c;b1982;b1982
rxn00178_c0;<=>;c;b2224;b2224
rxn01362_c0;<=;c;(b3642 or b2312);b3642=b2312
rxn04713_c0;<=>;c;(b2221 and b2222);b2221+b2222
rxn00584_c0;=>;c;b0596;b0596
rxn11723_c0;<=>;c;(b0355 or b2154);b0355=b2154
rxn10060_c0;<=>;c;b2615;b2615
rxn12638_c0;=>;c;(b0168 or b0237);b0168=b0237
rxn09105_c0;=>;c;(b0418 or b1278);b0418=b1278
rxn01445_c0;=>;c;b2291;b2291
rxn08841_c0;<=>;c;b3825;b3825
rxn01701_c0;<=>;c;(b2458 or b2297);b2458=b2297
rxn08083_c0;=>;c;b3018;b3018
rxn03038_c0;=>;c;b0348;b0348
rxn02791_c0;<=>;c;b3447;b3447
rxn05466_c0;<=>;c;b0451;b0451
rxn08814_c0;<=>;c;b3825;b3825
rxn08845_c0;<=>;c;b3825;b3825
rxn01292_c0;<=>;c;(b0062 or b1613);b0062=b1613
rxn00300_c0;=>;c;b1277;b1277
rxn08799_c0;<=>;c;b3825;b3825
rxn05938_c0;<=>;c;b1378;b1378
rxn10256_c0;<=>;c;b4042;b4042
rxn00679_c0;<=;c;b0333;b0333
rxn01516_c0;<=>;c;b2803;b2803
rxn02103_c0;<=>;c;b0517;b0517
rxn03848_c0;<=>;c;b3287;b3287
rxn10213_c0;=>;c;b3018;b3018
rxn08300_c0;<=>;c;b4042;b4042
rxn02404_c0;=>;c;b3198;b3198
rxn01644_c0;=>;c;b2478;b2478
rxn08297_c0;<=>;c;b4042;b4042
rxn00012_c0;<=>;c;b0931;b0931
rxn12847_c0;<=>;c;(b0168 or b0237);b0168=b0237
rxn09320_c0;<=>;c;b2498;b2498
rxn08822_c0;<=>;c;b3825;b3825
rxn04068_c0;<=>;c;b2817;b2817
rxn01522_c0;<=>;c;(b2866 and Unknown and Unknown);b2866
rxn00336_c0;<=>;c;b4015;b4015
rxn03891_c0;=>;c;b3187;b3187
rxn04457_c0;=>;c;Unknown;
rxn05021_c0;<=>;c;b3631;b3631
rxn08844_c0;<=>;c;b3825;b3825
rxn00707_c0;<=>;c;(b0910 or b2803);b0910=b2803
rxn00369_c0;<=>;c;b2803;b2803
rxn06937_c0;=>;c;(b2400 or b0680);b2400=b0680
rxn03095_c0;<=>;c;b2817;b2817
rxn00708_c0;=>;c;b2291;b2291
rxn03762_c0;<=>;c;b3189;b3189
rxn00747_c0;<=>;c;b3919;b3919
rxn01334_c0;<=>;c;b2097;b2097
rxn10113_c0;=>;c;(b0432 or b0430 or b0429 or b0431);b0432=b0430=b0429=b0431
rxn12646_c0;<=>;c;(b0168 or b0237);b0168=b0237
rxn01675_c0;<=>;c;(b3789 or b2039);b3789=b2039
rxn08839_c0;<=>;c;b3825;b3825
rxn14003_c0;<=>;c;b0125;b0125
rxn01575_c0;<=>;c;b3770;b3770
rxn09562_c0;<=>;c;b3648;b3648
rxn06098_c0;<=>;c;b0776;b0776
rxn00555_c0;<=>;c;(b2290 or b2379);b2290=b2379
rxn10237_c0;<=>;c;b4160;b4160
rxn12644_c0;<=>;c;(b0168 or b0237);b0168=b0237
rxn00147_c0;=>;c;b1702;b1702
rxn01505_c0;<=>;c;b4383;b4383
rxn00737_c0;<=>;c;b1814;b1814
rxn08843_c0;<=>;c;b3825;b3825
rxn04841_c0;<=>;c;b1710;b1710
rxn11551_c0;<=>;c;b2453;b2453
rxn02314_c0;<=>;c;b0757;b0757
rxn08801_c0;<=>;c;b3825;b3825
rxn02161_c0;<=>;c;b3904;b3904
rxn00251_c0;<=>;c;b3956;b3956
rxn04043_c0;<=>;c;b3752;b3752
rxn00139_c0;<=;c;b0469;b0469
rxn00790_c0;<=;c;b2312;b2312
rxn08086_c0;=>;c;b3018;b3018
rxn01146_c0;<=>;c;b4382;b4382
rxn05336_c0;<=>;c;b1093;b1093
rxn01484_c0;<=>;c;b0677;b0677
rxn04712_c0;=>;c;b3041;b3041
rxn01124_c0;<=>;c;b2842;b2842
rxn07584_c0;<=>;c;b4386;b4386
rxn00132_c0;=>;c;b2291;b2291
rxn11724_c0;<=>;c;(b0355 or b2154);b0355=b2154
rxn04052_c0;<=>;c;b0688;b0688
rxn02819_c0;<=>;c;b0134;b0134
rxn00712_c0;<=>;c;b2803;b2803
rxn08815_c0;<=>;c;b3825;b3825
rxn00126_c0;=>;c;b2942;b2942
rxn01015_c0;<=>;c;b0508;b0508
rxn12844_c0;<=>;c;(b0168 or b0237);b0168=b0237
rxn10216_c0;=>;c;b3018;b3018
rxn08798_c0;=>;c;b3825;b3825
rxn08821_c0;<=>;c;b3825;b3825
rxn05340_c0;<=>;c;b1093;b1093
rxn00484_c0;=>;c;b3956;b3956
rxn00405_c0;=>;c;b4117;b4117
rxn01169_c0;<=>;c;b2388;b2388
rxn12013_c0;<=>;c;(b1482 or b2480);b1482=b2480
rxn07230_c0;<=>;c;b4214;b4214
rxn02379_c0;<=>;c;b1317;b1317
rxn00013_c0;<=>;c;b3526;b3526
rxn02916_c0;=>;c;Unknown;
rxn01133_c0;=>;c;b0459;b0459
rxn12639_c0;<=>;c;(b0168 or b0237);b0168=b0237
rxn00875_c0;<=>;c;(b2222 and b2221);b2222+b2221
rxn00363_c0;=>;c;b2291;b2291
rxn08128_c0;<=>;c;b3416;b3416
rxn00705_c0;<=>;c;b3526;b3526
rxn01670_c0;=>;c;b2291;b2291
rxn12643_c0;=>;c;(b0168 or b0237);b0168=b0237
rxn01706_c0;<=>;c;b2803;b2803
rxn11703_c0;=>;c;b2263;b2263
rxn01300_c0;<=>;c;b0003;b0003
rxn07899_c0;<=>;c;b0596;b0596
rxn00786_c0;<=>;c;b2097;b2097
rxn03012_c0;=>;c;Unknown;
rxn09197_c0;<=>;c;b4160;b4160
rxn01100_c0;<=>;c;b2926;b2926
rxn00838_c0;=>;c;b4177;b4177
rxn00102_c0;<=>;c;(b0339 or b0126);b0339=b0126
rxn00831_c0;=>;c;b2291;b2291
rxn00748_c0;=>;c;b0963;b0963
rxn01352_c0;<=>;c;b0160;b0160
rxn12634_c0;<=>;c;(b0168 or b0237);b0168=b0237
rxn01457_c0;<=>;c;b3092;b3092
rxn01255_c0;=>;c;b2329;b2329
rxn01895_c0;<=;c;b0349;b0349
rxn00527_c0;<=>;c;(b2021 and Unknown);b2021
rxn08804_c0;<=>;c;b3825;b3825
rxn00966_c0;<=;c;b4039;b4039
rxn13782_c0;=>;c;(Unknown and b4258 and b0893 and Unknown and Unknown and b1876 and Unknown and Unknown and Unknown and Unknown and Unknown and Unknown and b0526 and Unknown and Unknown and Unknown and Unknown and Unknown and b2697 and Unknown and Unknown and b1637 and Unknown and b0642 and Unknown and b3384 and Unknown and Unknown and Unknown and Unknown and Unknown and b0188 and Unknown and Unknown and Unknown and Unknown and Unknown and Unknown and Unknown and Unknown and Unknown and Unknown and Unknown and Unknown and Unknown and Unknown and b0026 and b1719 and b0194 and Unknown and Unknown and Unknown and Unknown and Unknown and Unknown and Unknown and Unknown and Unknown and Unknown and Unknown and Unknown and Unknown and Unknown and Unknown and b1866 and Unknown and Unknown and b2114 and Unknown and Unknown and Unknown and Unknown and Unknown and (b0680 or b2400) and Unknown and Unknown and Unknown);b4258+b0893+b1876+b0526+b2697+b1637+b0642+b3384+b0188+b0026+b1719+b0194+b1866+b2114+b0680=b2400
rxn01917_c0;<=>;c;b3959;b3959
rxn01951_c0;<=>;c;b3222;b3222
rxn10236_c0;<=>;c;b4160;b4160
rxn01509_c0;<=>;c;b3648;b3648
rxn01748_c0;<=>;c;b0512;b0512
rxn00173_c0;<=>;c;(b2458 or b2297);b2458=b2297
rxn01145_c0;=>;c;b2291;b2291
rxn09201_c0;<=>;c;b4160;b4160
rxn05574_c0;<=>;c;b3093;b3093
rxn05202_c0;<=>;c;(b3654 or b2882);b3654=b2882
rxn03035_c0;<=>;c;b4214;b4214
rxn11721_c0;<=>;c;(b0355 or b2154);b0355=b2154
rxn09106_c0;=>;c;(b0418 or b1278);b0418=b1278
rxn00187_c0;=>;c;b3870;b3870
rxn08850_c0;<=>;c;b3825;b3825
rxn00772_c0;<=>;c;b3752;b3752
rxn09103_c0;=>;c;(b0418 or b1278);b0418=b1278
rxn02229_c0;<=>;c;b0775;b0775
rxn08812_c0;<=>;c;b3825;b3825
rxn05338_c0;<=>;c;b1093;b1093
rxn00627_c0;<=>;c;b3974;b3974
rxn08085_c0;=>;c;b3018;b3018
rxn10265_c0;=>;c;(b0418 or b1278);b0418=b1278
