id	abbrev	deltaG	deltaGErr	equation	name	reversibility	status	thermoReversibility
bio1_cpd00166_c0	bio1	0	-0.00309646685192537	(0.0001) cpd01997_c0 + (0.0001) cpd03422_c0 => (0.0001) cpd00166_c0	bio1	=>	OK	=>
bio1_cpd00017_c0	bio1	0	-0.00309646685192537	=> (0.0001) cpd00017_c0	bio1	=>	OK	=>
bio1_cpd00345_c0	bio1	0	-0.00309646685192537	=> (0.0001) cpd00345_c0	bio1	=>	OK	=>
bio1_cpd00557_c0	bio1	0	-0.00309646685192537	=> (0.0001) cpd00557_c0	bio1	=>	OK	=>
bio1_cpd15665_c0	bio1	0	-0.0250105977108944	(0.0001) cpd15666_c0 => (0.0001) cpd15665_c0	bio1	=>	OK	=>
bio1_cpd17042_c0	bio1	0	-1	=> (0.0001) cpd17042_c0	bio1	=>	OK	=>
bio1_cpd02229_c0	bio1	0	-0.0250105977108944	=> (0.0001) cpd02229_c0	bio1	=>	OK	=>
bio1_cpd00054_c0	bio1	0	-0.179456352975885	(0.0001) cpd00001_c0 => (0.0001) cpd00054_c0	bio1	=>	OK	=>
bio1_cpd15695_c0	bio1	0	-0.0106480421341882	=> (0.0001) cpd15695_c0	bio1	=>	OK	=>
bio1_cpd00322_c0	bio1	0	-0.241798510337235	(0.0001) cpd00001_c0 => (0.0001) cpd00322_c0	bio1	=>	OK	=>
bio1_cpd00087_c0	bio1	0	-0.00309646685192537	=> (0.0001) cpd00087_c0	bio1	=>	OK	=>
bio1_cpd15795_c0	bio1	0	-0.0106480421341882	=> (0.0001) cpd15795_c0	bio1	=>	OK	=>
bio1_cpd15560_c0	bio1	0	-0.00309646685192537	=> (0.0001) cpd15560_c0	bio1	=>	OK	=>
bio1_cpd15540_c0	bio1	0	-0.0106480421341882	=> (0.0001) cpd15540_c0	bio1	=>	OK	=>
bio1_cpd00053_c0	bio1	0	-0.219088153012743	(0.0001) cpd00001_c0 => (0.0001) cpd00053_c0	bio1	=>	OK	=>
bio1_cpd15696_c0	bio1	0	-0.0106480421341882	=> (0.0001) cpd15696_c0	bio1	=>	OK	=>
bio1_cpd00241_c0	bio1	0	-0.0162738928962461	(0.0001) cpd00012_c0 => (0.0001) cpd00241_c0	bio1	=>	OK	=>
bio1_cpd00038_c0	bio1	0	-0.135406821203723	(0.0001) cpd00012_c0 => (0.0001) cpd00038_c0	bio1	=>	OK	=>
bio1_cpd00161_c0	bio1	0	-0.211072732780569	(0.0001) cpd00001_c0 => (0.0001) cpd00161_c0	bio1	=>	OK	=>
bio1_cpd00063_c0	bio1	0	-0.00309646685192537	=> (0.0001) cpd00063_c0	bio1	=>	OK	=>
bio1_cpd00023_c0	bio1	0	-0.219088153012743	(0.0001) cpd00001_c0 => (0.0001) cpd00023_c0	bio1	=>	OK	=>
