Variable index;Variable type;Variable ID;Variable name;Variable data;Upper bound;Lower bound;Max;Min
1;FLUX;rxn00351_c0;rxn00351_c0;cpd00506_c0 + cpd00002_c0 + cpd00033_c0 => cpd00067_c0 + cpd00042_c0 + cpd00009_c0 + cpd00008_c0;1000;0;0;0
2;FLUX;rxn08180_c0;rxn08180_c0;cpd00017_c0 + cpd00074_c0 + cpd01311_c0 => cpd00067_c0 + cpd03091_c0 + cpd00060_c0 + cpd00104_c0;1000;0;0;0
3;FLUX;rxn00423_c0;rxn00423_c0;cpd00054_c0 + cpd00022_c0 => cpd00010_c0 + cpd00722_c0;1000;0;0.0254025;0.00254025
4;FORWARD_FLUX;rxn00364_c0;rxn00364_c0;cpd00002_c0 + cpd00067_c0 + cpd00046_c0 <=> cpd00008_c0 + cpd00096_c0;1000;0;0.258817;0.0258817
5;REVERSE_FLUX;rxn00364_c0;rxn00364_c0;cpd00002_c0 + cpd00067_c0 + cpd00046_c0 <=> cpd00008_c0 + cpd00096_c0;1000;0;0;0
6;FLUX;rxn02177_c0;rxn02177_c0;cpd00658_c0 + cpd00001_c0 => cpd00020_c0 + cpd02566_c0;1000;0;0;0
7;FLUX;rxn00247_c0;rxn00247_c0;cpd00002_c0 + cpd00032_c0 => cpd00008_c0 + cpd00061_c0 + cpd00011_c0;1000;0;996.114;0
8;FORWARD_FLUX;rxn05625_c0;rxn05625_c0;cpd00075_e0[e] + cpd00067_e0[e] <=> cpd00067_c0 + cpd00075_c0;1000;0;0;0
9;REVERSE_FLUX;rxn05625_c0;rxn05625_c0;cpd00075_e0[e] + cpd00067_e0[e] <=> cpd00067_c0 + cpd00075_c0;1000;0;0.304488;0
10;FLUX;rxn00022_c0;rxn00022_c0;cpd00001_c0 + cpd00179_c0 => 2 cpd00027_c0;1000;0;996.114;0
11;FORWARD_FLUX;rxn00973_c0;rxn00973_c0;cpd00137_c0 <=> cpd00260_c0;1000;0;1000;0
12;REVERSE_FLUX;rxn00973_c0;rxn00973_c0;cpd00137_c0 <=> cpd00260_c0;1000;0;999.947;0
13;FORWARD_FLUX;rxn03120_c0;rxn03120_c0;cpd02807_c0 + cpd01140_c0 <=> cpd00014_c0 + cpd02952_c0;1000;0;0;0
14;REVERSE_FLUX;rxn03120_c0;rxn03120_c0;cpd02807_c0 + cpd01140_c0 <=> cpd00014_c0 + cpd02952_c0;1000;0;0;0
15;FLUX;rxn00322_c0;rxn00322_c0;cpd00067_c0 + cpd00039_c0 => cpd00011_c0 + cpd01155_c0;1000;0;0;0
16;FLUX;rxn13783_c0;rxn13783_c0; => cpd17042_c0;1000;0;0.507834;0.0507834
17;REVERSE_FLUX;rxn12008_c0;rxn12008_c0;cpd00067_c0 + cpd02557_c0 + cpd00012_c0 <= cpd02590_c0 + cpd00113_c0;1000;0;0.00471748;0.000471748
18;FLUX;rxn04070_c0;rxn04070_c0;cpd08289_c0 + cpd08449_c0 => cpd00067_c0 + cpd00009_c0 + 2 cpd00001_c0 + cpd00478_c0;1000;0;0;0
19;FLUX;rxn10270_c0;rxn10270_c0;cpd00001_c0 + cpd15721_c0 => cpd00067_c0 + cpd00009_c0 + cpd15727_c0;1000;0;0;0
20;FORWARD_FLUX;rxn12637_c0;rxn12637_c0;cpd00001_c0 + cpd11589_c0 <=> cpd00033_c0 + cpd00041_c0;1000;0;0;0
21;REVERSE_FLUX;rxn12637_c0;rxn12637_c0;cpd00001_c0 + cpd11589_c0 <=> cpd00033_c0 + cpd00041_c0;1000;0;0;0
22;FORWARD_FLUX;rxn01219_c0;rxn01219_c0;cpd00002_c0 + cpd00067_c0 + cpd00206_c0 <=> cpd00008_c0 + cpd00533_c0;1000;0;1000;0.000826444
23;REVERSE_FLUX;rxn01219_c0;rxn01219_c0;cpd00002_c0 + cpd00067_c0 + cpd00206_c0 <=> cpd00008_c0 + cpd00533_c0;1000;0;0;0
24;FLUX;rxn05958_c0;rxn05958_c0;cpd02227_c0 => cpd08636_c0 + cpd00135_c0;1000;0;0;0
25;FORWARD_FLUX;rxn00800_c0;rxn00800_c0;cpd02375_c0 <=> cpd00018_c0 + cpd00106_c0;1000;0;0.0733931;0.00733931
26;REVERSE_FLUX;rxn00800_c0;rxn00800_c0;cpd02375_c0 <=> cpd00018_c0 + cpd00106_c0;1000;0;0;0
27;FLUX;rxn08333_c0;rxn08333_c0;cpd02557_c0 + cpd02295_c0 => cpd00011_c0 + cpd00012_c0 + cpd15353_c0;1000;0;0.00314498;0.000314498
28;FORWARD_FLUX;rxn01705_c0;rxn01705_c0;cpd00356_c0 + cpd00367_c0 <=> cpd00067_c0 + cpd00046_c0 + cpd00533_c0;1000;0;999.999;0
29;REVERSE_FLUX;rxn01705_c0;rxn01705_c0;cpd00356_c0 + cpd00367_c0 <=> cpd00067_c0 + cpd00046_c0 + cpd00533_c0;1000;0;1000;0
30;FORWARD_FLUX;rxn00211_c0;rxn00211_c0;cpd00001_c0 + cpd00026_c0 + 2 cpd00003_c0 <=> 3 cpd00067_c0 + cpd00144_c0 + 2 cpd00004_c0;1000;0;0;0
31;REVERSE_FLUX;rxn00211_c0;rxn00211_c0;cpd00001_c0 + cpd00026_c0 + 2 cpd00003_c0 <=> 3 cpd00067_c0 + cpd00144_c0 + 2 cpd00004_c0;1000;0;0;0
32;FLUX;rxn01218_c0;rxn01218_c0;cpd00001_c0 + cpd00206_c0 => cpd00009_c0 + cpd00654_c0;1000;0;0;0
33;FORWARD_FLUX;rxn03360_c0;rxn03360_c0;cpd00011_c0 + cpd03349_c0 <=> cpd00067_c0 + cpd03362_c0;1000;0;0;0
34;REVERSE_FLUX;rxn03360_c0;rxn03360_c0;cpd00011_c0 + cpd03349_c0 <=> cpd00067_c0 + cpd03362_c0;1000;0;0;0
35;FORWARD_FLUX;rxn02319_c0;rxn02319_c0;cpd00002_c0 + cpd01186_c0 <=> cpd00067_c0 + cpd00008_c0 + cpd00806_c0;1000;0;0;0
